Voltage (V),Current (A),Power (MW),Reactive Power (MVAR),Frequency (Hz),Power Factor (PF),Load Demand (MW),Generation Capacity (MW),Transformer Temperature (°C),Line Impedance (Ω),Short-Circuit Current (kA),Circuit Breaker Status,Relay Trip Signals,Weather Temperature (°C),Weather Humidity (%),Wind Speed (m/s),Rainfall (mm),OUTAGE.START.DATE,Time Hour,Time Day,Time Season,Blackout History (0/1),Blackout
205.39324758252695,41.97175556049157,495.8707312992717,119.2469033853314,49.7880494638337,0.9314534448196166,678.2018946035622,538.70689379766,81.3695253999487,0.5395711532416954,8.079166159181542,1,1,33.73009797367935,65.72162287978557,1.92924745284862,2.6632873062290185,2023-03-08 07:00:00,1,14,3,0,1
219.50412068110307,55.58139514518506,440.2332316745143,96.69838869993907,49.767462026899494,1.0,469.55362708915646,631.1145215204463,90.11322799203202,0.6676189507502015,8.24444538712838,0,1,28.21772106722049,77.42674802033685,6.534088257750555,0.12384500862610767,2023-02-09 07:00:00,17,2,2,0,0
230.05102269383175,56.256309336460006,538.737148063299,109.8795476441129,49.81875049855896,0.9344266402550399,328.4956080261457,565.2496456102682,65.89801293772089,0.35364968966955934,8.86219029382115,1,1,26.992442426150703,70.72834902122628,8.72095270638459,0.9601248142612157,2023-02-06 05:00:00,5,27,0,1,0
225.792977895037,55.211224283793385,418.698562773987,87.50979089822846,50.5297827863117,0.9835508902458885,412.6718115436204,461.3255239269988,89.92264509475059,0.4268739026672955,6.1643346764039535,0,1,24.90414689349048,48.34931863710884,6.052297650246691,2.648823223035352,2023-01-07 18:00:00,9,8,3,0,0
223.04569060453588,67.02514658129606,636.0115900180313,86.68613070212906,50.768775659517175,0.9304795406789182,552.8587699427646,539.2798792506269,77.3664691267285,0.5188440080420756,13.251955920012797,1,0,32.87373464562752,64.63875404328651,6.844855501236621,1.8609962372803277,2023-02-22 23:00:00,11,15,1,0,0
221.80697802754207,38.94295331514064,602.9457481598357,130.30889616704496,49.141163925818304,0.9961488782570215,596.8823961894082,508.66452058927,84.59496076599441,0.493519074643887,12.420647699883107,0,1,37.98044646097121,78.55273061031211,7.833167646689385,5.181792501810747,2023-01-03 22:00:00,12,31,0,0,1
216.73335383713143,49.90699678861385,453.7060487974742,131.36364859054652,49.75803327752438,0.9004454432334192,427.078333286673,402.96164018956597,65.78282163518085,0.4917409674583488,8.463611529989036,1,0,37.30451713072267,58.05744429558994,6.822426207590754,7.047157570617191,2023-01-11 07:00:00,17,9,0,1,0
215.90889658383264,49.80739620265605,465.35734939931,84.65865089199399,50.088242091831475,0.9548377459219399,539.1588985607585,468.03255217963647,79.45709140135367,0.5352011591090864,9.817220655899478,0,0,28.111975234710307,83.5046827105499,3.1257189526379143,3.6519732742021813,2023-01-14 10:00:00,12,14,1,0,1
225.69939280564523,38.28345652682438,702.2590230569481,113.73913264197354,49.0925580852593,0.8910713607614913,475.651228913909,532.5558522473578,65.62942323533866,0.5542985202391105,9.63778087519098,1,1,42.22490650333201,56.3058838287369,3.743398911666991,1.968131591033768,2023-03-11 03:00:00,20,28,2,0,0
223.49111656806795,49.04535752910927,390.7858406571267,110.42898798119057,49.800777362505315,1.0,486.50242208125826,610.8763478124358,78.08675294055617,0.36651731824115064,13.834519069008143,1,0,30.50161477878073,42.24762176436266,-0.3421239307395112,2.9269242003051064,2023-02-11 20:00:00,5,11,3,1,0
209.39072550495703,51.56693728246525,527.242139665361,85.77393546101041,49.78709100081672,0.9974820749308266,393.0898877537492,565.8600453877631,91.85064345333184,0.42517253452223047,10.455418236951916,1,0,26.143853527744913,38.271284297595685,7.1117442827121184,5.775022041066178,2023-03-11 06:00:00,16,19,3,1,0
230.8162736165273,65.63413358832108,493.04677137577306,100.57551128161997,50.20739223103962,1.0,471.12524408957904,686.7797933004515,70.52775640322476,0.2840731064680232,11.877191606350223,0,0,26.35670429483109,75.63209838952767,2.6358758522470884,2.397936628856482,2023-02-07 21:00:00,13,5,3,1,0
219.35089650133287,46.114792248169906,524.124024840673,59.0097096762335,49.98374805347115,0.9962360902756711,524.2146618653654,650.6617069295048,99.63013688775024,0.3425120012537265,10.59839124436018,0,1,32.17289250482709,86.44728171974968,4.3678740567251015,3.515769316068617,2023-02-21 01:00:00,6,26,1,1,0
218.03330593836318,60.90980425185967,364.74913105592776,71.18036730950163,49.66050982676843,0.9684962806502194,536.5270827210223,543.6542193614863,85.87940253268552,0.49710984765021393,10.741004021656183,1,0,23.496440997040086,56.179218150211625,4.635426587141053,9.21778792465484,2023-02-07 13:00:00,16,6,3,0,0
217.6117127661744,40.7048913980759,526.3550811954785,106.12778964146828,49.60327013505827,0.9344107213371987,517.0864023359421,443.174467960823,84.13391090802183,0.4902832893627497,6.17806812881559,0,0,30.24096088629915,67.86052526017284,2.859034198253189,1.653665811801765,2023-01-25 15:00:00,11,9,0,0,1
218.417957751526,66.3185689908911,523.2868087426898,102.485713897017,49.7027481520255,0.9969867740873551,344.71604373603583,499.26432313059956,55.51621493267849,0.4258060546243524,12.86034548723756,0,1,36.43399426362951,48.59131690066311,7.381077968745574,4.381331836945502,2023-02-23 01:00:00,8,8,3,0,0
221.68801331037602,62.11943985386401,599.0166238959289,110.61788628431898,50.027025831423,0.9284786150599642,546.09832675287,350.1549431599749,80.03089253336663,0.5956549461787268,13.782910230538441,0,0,26.963365447911514,63.081190458279906,5.962111448283587,12.841251326956622,2023-01-24 02:00:00,18,28,3,0,1
205.75728689684962,54.838766511880394,471.67819610547673,74.61069467974374,50.85918199788194,0.9619249462836527,388.62368631751656,577.9577847113848,82.76087372862564,0.6197494516564364,8.110238997751969,1,0,28.620736426811273,37.64301008919223,5.277901146110188,6.307546179375503,2023-02-14 05:00:00,23,22,3,1,0
215.47841687447794,58.491021107431436,665.6208252057296,108.06549126074344,50.08324656355756,0.9424024438264007,438.7441473108486,614.106655145193,75.88822962278789,0.3931562514154171,7.402392891896277,1,0,30.896592505799017,35.728322732842514,4.8045782202694145,0.5750749414241064,2023-01-23 01:00:00,9,10,0,1,0
217.82256814715078,27.831811606459354,554.0287944035696,113.74476900790577,50.41296179151533,0.9600697279357641,472.02545042862516,658.7845970345974,66.87618645309962,0.584945625510433,10.709180557209365,0,1,24.97134724826009,46.48293913902576,5.640953578823109,2.7040902309245656,2023-03-13 15:00:00,19,19,0,1,0
211.44915803671688,79.85259002603411,489.2735234189058,102.95511814800257,50.58555098583478,0.9618865863952992,218.22053299675468,437.42309045318416,76.46632587646175,0.5677030469800807,9.058653710035639,0,0,30.145918790277065,72.72991428258334,5.907159704290662,4.079904228451287,2023-01-31 01:00:00,15,18,0,0,0
230.3770039932272,36.47329714156466,547.9827035366833,142.10594858916625,50.35663312539827,0.9098282862914371,426.9518929661798,483.3397430161256,73.72837203705869,0.646199283086832,7.709864167034921,0,0,24.062969225731592,76.60280436708854,2.1121469402499273,2.624068278152923,2023-01-24 09:00:00,3,18,2,1,0
225.03146404607222,50.07063158628176,589.1303686869755,124.89130320710511,50.1050041540113,0.885524996513801,783.9991417160426,580.9909122654644,67.51928195678333,0.6576849825589217,11.021357766332077,1,1,38.5105396705082,48.00389777775047,4.187514254196331,1.519293604124979,2023-01-23 10:00:00,12,11,3,0,1
221.87028284923787,42.16246478875571,514.8876803917691,106.75532198109202,49.68758269078276,0.9115782241548254,420.5866919397172,452.36602842364545,78.85821486432224,0.4185928777507817,9.443731323420366,1,0,24.9549488445757,43.79373396257444,6.152189456289662,1.7701809234208086,2023-02-22 05:00:00,9,5,3,1,0
222.6945502184233,55.22514105265758,396.8044757905565,120.1346014245413,50.72780023962865,0.889528233552047,369.31051962421134,583.7119040411228,80.88236794515059,0.6055365546750706,10.973238960256221,1,1,33.77513896759824,43.581810373215,7.998575516951374,9.20653920878457,2023-01-21 15:00:00,0,5,0,0,0
